Ticker,Financial_currentPrice,Financial_totalCash,Financial_totalCashPerShare,Financial_ebitda,Financial_totalDebt,Financial_quickRatio,Financial_currentRatio,Financial_totalRevenue,Financial_debtToEquity,Financial_revenuePerShare,Financial_returnOnAssets,Financial_returnOnEquity,Financial_freeCashflow,Financial_ebitdaMargins,Financial_profitMargins,KeyStats_enterpriseValue,KeyStats_sharesOutstanding,KeyStats_heldPercentInsiders,KeyStats_priceToBook,KeyStats_enterpriseToEbitda,SharePurchase_period,SharePurchase_buyInfoCount,SharePurchase_buyInfoShares,SharePurchase_buyPercentInsiderShares,SharePurchase_sellInfoCount,SharePurchase_sellInfoShares,SharePurchase_sellPercentInsiderShares,SharePurchase_netInfoCount,SharePurchase_netInfoShares,SharePurchase_netPercentInsiderShares,SharePurchase_totalInsiderShares
AIM,0.395,22431000,0.459,-23118000,750000,4.767,4.822,193000,3.318,0.004,-0.39564,-0.63632,-8956500,0.0,0.0,-1698545,48841700,0.08687,0.8797328,0.073,6m,0,0,,0,,,0,0,,4242874
AIMAU,11.05,5503,0.003,,255000,0.006,0.096,,,,,,,0.0,0.0,22487622,,0.11017,1004.5455,,6m,0,0,,0,,,0,0,,221717
AIMBU,11.07,5503,0.003,,255000,0.006,0.096,,,,,,,0.0,0.0,22527872,,0.0,1006.3636,,6m,0,0,,0,,,0,0,,0
AIMD,1.37,2370963,0.584,-4752786,5042000,2.893,3.71,1140233,18.215,0.284,-0.16506,-0.31125998,-521346,0.0,0.0,8231216,4677810,0.81088996,0.20087977,-1.732,6m,301,26260054,0.0,1,400000,0.0,302,25860054,-1.146,3291017
AIMDW,0.0462,2370963,0.584,-4752786,5042000,2.893,3.71,1140233,18.215,0.284,-0.16506,-0.31125998,-521346,0.0,0.0,,,,0.07403846,,6m,0,0,,0,,,0,0,,0
AINC,2.49,52054000,16.205,62249992,163568992,0.729,1.041,339364000,93.252,110.219,0.03426,-0.02611,,0.18343,-0.01364,606490688,3212310,0.39935002,,9.743,6m,0,0,,0,,,0,0,,1282836
AIRG,4.54,9989000,0.956,-6532000,1787000,1.709,2.339,65859000,4.997,6.374,-0.12177,-0.26136,4527875,-0.099180005,-0.15433,39212440,10443700,0.14474,1.3259345,-6.003,6m,13,87880,0.062,1,4726,0.003,14,83154,0.058000002,1511622
AIRI,4.2472,740000,0.224,767000,23890000,0.245,1.481,51937000,159.81,15.926,-0.02036,-0.19708,6563375,0.01477,-0.06182,37178692,3315370,0.26520002,0.9346831,48.473,6m,0,0,,0,,,0,0,,875967
AISPW,0.33,482373,0.063,-6315890,2412347,0.122,0.124,9679872,,1.271,,,,-0.65248,-0.73488,,,,,,6m,0,0,,0,,,0,0,,0
AITR,10.29,844,0.0,,159069,,,,771.73,,,,,0.0,0.0,80808672,8062750,0.22681999,,,6m,0,0,,0,,,0,0,,1777758
AITRR,0.17,844,0.0,,159069,,,,771.73,,,,,0.0,0.0,,,,,,6m,0,0,,0,,,0,0,,0
AITRU,10.41,844,0.0,,159069,,,,771.73,,,,,0.0,0.0,81749200,,0.059180003,,,6m,0,0,,0,,,0,0,,463838
AKLI,0.3177,75150000,0.957,-64183000,15485000,5.819,6.018,1678000,26.456,0.021,-0.35834998,-0.70318,-43278876,0.0,0.0,-34722428,78509800,0.1958,0.42530122,0.541,6m,2,139500,0.009,4,6041,0.0,6,133459,0.009,15372224
AL^A
ALBT,0.4,341771,0.031,-8439578,8103100,0.069,0.129,1109723,48.168,0.108,-0.25325,-0.89436996,-1897049,0.0,0.0,32161142,10999500,0.56525004,,-3.811,6m,0,0,,0,,,0,0,,6217487
ALCE,0.415,3886000,0.148,-15114013,215739008,0.072,0.098,29842000,,1.133,-0.058790002,,,-0.50646996,-1.92477,265977056,79670400,0.02025,,-17.598,6m,0,0,,0,,,0,0,,533096
ALCY,10.57,424173,0.028,,0,0.766,0.961,,,,,,,0.0,0.0,157814016,12095500,0.04448,,,6m,0,0,,0,,,0,0,,665887
ALL^B
ALL^H
ALL^I
ALL^J
ALLR,0.411,1455000,0.319,-15406000,1167000,0.196,0.279,,,,-0.6028,-209.9516,-7398500,0.0,0.0,3327594,5886930,0.00024000001,,-0.216,6m,0,0,,0,,,0,0,,1094
